label,fish_length_mm,voxel_size_um,omega,oto_vol_mm_bc,oto_vol_pix,oto_sa_pix,sul_vol_pix,sul_sa_pix,gender,cluster_n
otoI48,50,2.024,1,0.2213942124,28993484,790461.0749,569544,198483.6015,I,7
otoI47,82,2.024,0.9,1.119811957,141059414,2515537.522,4762001,722993.4122,I,12
otoI96,96,2.024,0.7,1.87697894,126055624,2334486.602,4847115,755481.8986,I,18
otoI59,101,2.024,0.7,2.216721308,128131823,2261782.388,3912697,649473.4661,I,19
otoI89,115,2.024,0.6,3.391875195,120902056,2253418.159,3553021,665031.7089,I,36
otoI9,130,2.024,0.6,5.068849922,148698004,2647080.083,3238913,698411.5502,I,44
otoF75,164,2.53441,0.5,8.802502844,68184852.9228504,1762878.08048881,1586021.24999972,402665.899430832,F,50
otoM30,164,2.38072,0.5,10.16142479,88837289.8055414,2003368.06513283,1767579.7916664,471987.129142065,M,50
otoF176,182,2.381,0.5,11.26478947,96175246,2325924.567,2397720,549494.093,F,64
otoM78,182,2.38072,0.5,12.99354884,103592472.838907,2561067.90140661,2014152.54166642,489529.289226496,M,68
otoF200,192,2.381,0.5,12.78617471,136439313,3413981.305,3031953,789270.3859,F,72
otoM145,192,2.381,0.5,14.74242039,108823806,2572976.287,3725928,687705.086,M,62
otoF11,221,2.381,0.4,17.84138912,79287035,2385573.91,2068758,483617.2822,F,95
otoM203,221,3.69046,0.6,20.54908696,77788165,2300322.069,2699380,557884.129,M,69
otoF34,232,3.69046,0.6,20.01666624,103157752,2572795.103,3080292,634595.8646,F,61
otoM19,232,3.333,0.6,23.04598554,115579723,2556403.311,3968682,738351.1283,M,43
otoF198,244,3.69046,0.6,22.556103,102334538,2700249.647,3178904,636015.308,F,68
otoM150,244,3.333,0.5,25.95978865,80321600,2152457.434,2238456,538837.3127,M,44
otoF83,268,8.333,1,28.16854732,53005363,1757912.138,1586297,479028.1498,F,43
otoM229,268,3.69042,0.5,32.39603594,78084172.2036366,2006998.92523488,2668216.37500011,488105.258578934,M,38
otoF73,300,4.762,0.6,36.8,84448354,2504234.404,2783248,637839.5383,F,73
otoM278,300,3.69042,0.4,42.28040206,61667203.9147978,1723511.90889342,1621900.12499981,348264.385793378,M,30
otoF177,400,8.333,0.9,72.72586372,92086675,2548691.473,2156992,614825.1866,F,43
otoM257,400,4.762,0.5,83.38625662,91209555,2372594.362,3535213,629636.6897,M,33
